,company,sector,industry,continent,country,marketvalue,sales,profits,assets,rank,forbeswebpage
47,BMW Group,Consumer Discretionary,Auto & Truck Manufacturers,Europe,Germany,83.4,101.0,7.1,190.7,48,http://www.forbes.com/companies/bmw-group/
48,Commonwealth Bank,Financials,Major Banks,Australia,Australia,114.5,41.5,7.9,699.9,49,http://www.forbes.com/companies/commonwealth-bank/
49,EDF,Utilities,Electric Utilities,Europe,France,75.8,100.4,4.5,353.9,50,http://www.forbes.com/companies/edf/
50,Statoil,Energy,Oil & Gas Operations,Europe,Norway,89.2,105.2,6.8,146.0,51,http://www.forbes.com/companies/statoil/
51,Google,Information Technology,Computer Services,North America,United States,382.5,59.7,12.2,110.9,52,http://www.forbes.com/companies/google/
52,Siemens,Industrials,Conglomerates,Europe,Germany,114.2,99.7,6.0,140.1,53,http://www.forbes.com/companies/siemens/
53,Novartis,Health Care,Pharmaceuticals,Europe,Switzerland,227.4,57.9,9.2,126.3,54,http://www.forbes.com/companies/novartis/
54,Royal Bank of Canada,Financials,Major Banks,North America,Canada,95.7,37.8,8.0,811.4,55,http://www.forbes.com/companies/royal-bank-of-canada/
55,Sumitomo Mitsui Financial,Financials,Major Banks,Asia,Japan,58.6,46.2,9.7,1494.7,56,http://www.forbes.com/companies/sumitomo-mitsui-financial/
56,Comcast,Consumer Discretionary,Broadcasting & Cable,North America,United States,130.0,64.7,6.8,158.8,57,http://www.forbes.com/companies/comcast/
57,Sberbank,Financials,Regional Banks,Asia,Russia,51.5,56.5,11.4,554.2,58,http://www.forbes.com/companies/sberbank/
58,Goldman Sachs Group,Financials,Investment Services,North America,United States,75.1,39.5,8.0,911.5,59,http://www.forbes.com/companies/goldman-sachs-group/
59,Westpac Banking Group,Financials,Major Banks,Australia,Australia,99.0,38.4,6.8,651.4,60,http://www.forbes.com/companies/westpac-banking/
60,Nippon Telegraph & Tel,Telecommunication Services,Telecommunications services,Asia,Japan,61.0,110.7,5.7,189.3,61,http://www.forbes.com/companies/nippon-tel-tel/
61,Ping An Insurance Group,Financials,Diversified Insurance,Asia,China,66.1,59.0,4.6,552.8,62,http://www.forbes.com/companies/ping-an-insurance/
62,Banco Bradesco,Financials,Regional Banks,South America,Brazil,58.5,74.1,5.6,384.9,63,http://www.forbes.com/companies/banco-bradesco/
63,Anheuser-Busch InBev,Consumer Staples,Beverages,Europe,Belgium,171.2,43.2,14.5,141.7,64,http://www.forbes.com/companies/anheuser-busch-inbev/
64,Bank of Communications,Financials,Major Banks,Asia,China,48.7,46.6,10.1,942.2,65,http://www.forbes.com/companies/bank-of-communications/
65,China Life Insurance,Financials,Life & Health Insurance,Asia,China,79.8,68.4,4.0,327.2,66,http://www.forbes.com/companies/china-life-insurance/
66,General Motors,Consumer Discretionary,Auto & Truck Manufacturers,North America,United States,54.6,155.4,5.3,166.3,67,http://www.forbes.com/companies/general-motors/
67,TelefÃ³nica,Telecommunication Services,Telecommunications services,Europe,Spain,71.8,75.8,6.1,163.8,68,http://www.forbes.com/companies/telefonica/
68,MetLife,Financials,Diversified Insurance,North America,United States,60.0,71.0,3.4,885.3,69,http://www.forbes.com/companies/metlife/
69,Honda Motor,Consumer Discretionary,Auto & Truck Manufacturers,Asia,Japan,63.0,117.7,4.9,147.9,70,http://www.forbes.com/companies/honda-motor/
70,Enel,Utilities,Electric Utilities,Europe,Italy,53.2,106.3,4.3,226.2,71,http://www.forbes.com/companies/enel/
71,BASF,Materials,Diversified Chemicals,Europe,Germany,102.3,98.2,6.4,88.7,72,http://www.forbes.com/companies/basf/
72,Softbank,Telecommunication Services,Telecommunications services,Asia,Japan,91.2,55.6,5.8,156.6,73,http://www.forbes.com/companies/softbank/
73,National Australia Bank,Financials,Major Banks,Australia,Australia,75.3,36.9,5.4,755.9,74,http://www.forbes.com/companies/national-australia-bank/
74,ANZ,Financials,Major Banks,Australia,Australia,83.9,34.0,6.2,659.7,75,http://www.forbes.com/companies/anz/
75,TD Bank Group,Financials,Major Banks,North America,Canada,86.2,31.3,6.6,815.2,76,http://www.forbes.com/companies/td-bank-group/
76,ConocoPhillips,Energy,Oil & Gas Operations,North America,United States,86.3,55.6,9.2,118.1,76,http://www.forbes.com/companies/conocophillips/
77,Intel,Information Technology,Semiconductors,North America,United States,129.2,52.7,9.6,92.4,78,http://www.forbes.com/companies/intel/
78,UBS,Financials,Investment Services,Europe,Switzerland,81.0,39.7,3.4,1135.5,79,http://www.forbes.com/companies/ubs/
79,Hewlett-Packard,Information Technology,Computer Hardware,North America,United States,63.0,112.1,5.3,105.0,80,http://www.forbes.com/companies/hewlett-packard/
80,Coca-Cola,Consumer Staples,Beverages,North America,United States,168.7,46.3,8.5,91.3,81,http://www.forbes.com/companies/coca-cola/
81,Cisco Systems,Information Technology,Communications Equipment,North America,United States,119.0,47.9,8.2,98.4,82,http://www.forbes.com/companies/cisco-systems/
82,LukOil,Energy,Oil & Gas Operations,Asia,Russia,47.7,119.2,7.8,109.4,83,http://www.forbes.com/companies/lukoil/
83,Boeing,Industrials,Aerospace & Defense,North America,United States,95.3,86.6,4.6,92.7,84,http://www.forbes.com/companies/boeing/
84,Zurich Insurance Group,Financials,Diversified Insurance,Europe,Switzerland,45.8,71.9,4.0,397.1,84,http://www.forbes.com/companies/zurich-insurance-group/
85,UnitedHealth Group,Health Care,Managed Health Care,North America,United States,81.0,122.5,5.6,81.9,84,http://www.forbes.com/companies/unitedhealth-group/
86,Hyundai Motor,Consumer Discretionary,Auto & Truck Manufacturers,Asia,South Korea,49.7,79.8,7.8,126.4,87,http://www.forbes.com/companies/hyundai-motor/
87,Sanofi,Health Care,Pharmaceuticals,Europe,France,137.1,43.7,4.9,132.4,87,http://www.forbes.com/companies/sanofi/
88,Credit Agricole,Financials,Major Banks,Europe,France,41.0,65.3,3.3,2117.7,89,http://www.forbes.com/companies/credit-agricole/
89,United Technologies,Industrials,Conglomerates,North America,United States,108.1,62.7,5.7,90.6,90,http://www.forbes.com/companies/united-technologies/
90,Roche Holding,Health Care,Pharmaceuticals,Europe,Switzerland,253.7,50.5,12.0,69.9,90,http://www.forbes.com/companies/roche-holding/
91,Munich Re,Financials,Diversified Insurance,Europe,Germany,38.9,88.0,4.4,343.1,92,http://www.forbes.com/companies/munich-re/
92,PepsiCo,Consumer Staples,Beverages,North America,United States,126.2,66.4,6.7,77.5,93,http://www.forbes.com/companies/pepsico/
93,Oracle,Information Technology,Software & Programming,North America,United States,185.0,37.9,11.1,86.6,94,http://www.forbes.com/companies/oracle/
94,Bank of Nova Scotia,Financials,Major Banks,North America,Canada,71.2,27.7,6.3,702.1,95,http://www.forbes.com/companies/bank-of-nova-scotia/
95,CVS Caremark,Consumer Staples,Drug Retail,North America,United States,87.8,126.8,4.6,71.5,96,http://www.forbes.com/companies/cvs-caremark/
96,ING Group,Financials,Life & Health Insurance,Europe,Netherlands,56.1,34.5,4.4,1488.7,97,http://www.forbes.com/companies/ing-group/
97,Saudi Basic Industries,Materials,Diversified Chemicals,Asia,Saudi Arabia,94.4,50.4,6.7,90.4,98,http://www.forbes.com/companies/saudi-basic-industries/
98,Merck & Co,Health Care,Pharmaceuticals,North America,United States,165.8,44.1,4.4,105.6,99,http://www.forbes.com/companies/merck-co/
99,Walt Disney,Consumer Discretionary,Broadcasting & Cable,North America,United States,142.9,46.0,6.6,83.2,100,http://www.forbes.com/companies/walt-disney/
